"section_id","schedule"
31958,"FR2023-01-13 00:00:0016:00UC LAW 1452023-01-13 00:00:0009:00"
32598,"FR2023-01-20 00:00:0012:10UC LAW 1452023-01-20 00:00:0010:00"
32598,"FR2023-01-20 00:00:0017:00UC LAW 1452023-01-20 00:00:0015:10"
32522,"FR2023-01-27 00:00:0012:00UC LAW 1702023-01-27 00:00:0010:00"
31939,"FR2023-01-27 00:00:0017:30UC LAW 1302023-01-27 00:00:0015:30"
32522,"FR2023-01-27 00:00:0017:30UC LAW 1702023-01-27 00:00:0015:10"
32687,"FR2023-02-03 00:00:0012:00UC LAW 1342023-02-03 00:00:0010:00"
32598,"FR2023-02-03 00:00:0012:10UC LAW 1452023-02-03 00:00:0010:00"
32598,"FR2023-02-03 00:00:0016:10UC LAW 1452023-02-03 00:00:0015:10"
32687,"FR2023-02-03 00:00:0017:10UC LAW 1342023-02-03 00:00:0015:10"
31939,"FR2023-02-10 00:00:0017:30UC LAW 1302023-02-10 00:00:0015:30"
31788,"FR2023-02-17 00:00:0015:59Dwinelle 2822023-01-20 00:00:0013:00"
32947,"FR2023-02-24 00:00:0011:10UC LAW 1412023-01-13 00:00:0009:20"
33627,"FR2023-02-24 00:00:0012:00UC LAW 1342023-02-24 00:00:0010:00"
33627,"FR2023-02-24 00:00:0017:10UC LAW 1342023-02-24 00:00:0014:10"
32688,"FR2023-03-03 00:00:0011:50UC LAW 1152023-01-20 00:00:0010:00"
32312,"FR2023-03-03 00:00:0012:00UC LAW 1702023-03-03 00:00:0010:00"
32516,"FR2023-03-03 00:00:0012:10UC LAW 1112023-03-03 00:00:0010:00"
31946,"FR2023-03-03 00:00:0012:10UC LAW 2442023-03-03 00:00:0010:00"
31946,"FR2023-03-03 00:00:0012:10UC LAW 2442023-03-03 00:00:0010:00"
31946,"FR2023-03-03 00:00:0016:00UC LAW 2442023-03-03 00:00:0014:10"
31946,"FR2023-03-03 00:00:0016:00UC LAW 2442023-03-03 00:00:0014:10"
32516,"FR2023-03-03 00:00:0017:00UC LAW 1112023-03-03 00:00:0015:10"
32312,"FR2023-03-03 00:00:0017:10UC LAW 1702023-03-03 00:00:0014:10"
31939,"FR2023-03-03 00:00:0017:30UC LAW 1302023-03-03 00:00:0015:30"
33405,"FR2023-03-10 00:00:0012:00UC LAW 1052023-03-10 00:00:0010:00"
32315,"FR2023-03-10 00:00:0012:30UC LAW 122023-03-10 00:00:0010:00"
33405,"FR2023-03-10 00:00:0017:30UC LAW 1052023-03-10 00:00:0015:10"
32315,"FR2023-03-10 00:00:0017:30UC LAW 122023-03-10 00:00:0015:10"
32516,"FR2023-03-17 00:00:0012:10UC LAW 1112023-03-17 00:00:0010:00"
31946,"FR2023-03-17 00:00:0012:10UC LAW 2442023-03-17 00:00:0010:00"
31946,"FR2023-03-17 00:00:0012:10UC LAW 2442023-03-17 00:00:0010:00"
31946,"FR2023-03-17 00:00:0016:00UC LAW 2442023-03-17 00:00:0014:10"
31946,"FR2023-03-17 00:00:0016:00UC LAW 2442023-03-17 00:00:0014:10"
32516,"FR2023-03-17 00:00:0017:00UC LAW 1112023-03-17 00:00:0015:10"
31939,"FR2023-03-17 00:00:0017:30UC LAW 1302023-03-17 00:00:0015:30"
26080,"FR2023-03-24 00:00:0015:59Dwinelle 2822023-02-24 00:00:0013:00"
32322,"FR2023-04-21 00:00:0009:50UC LAW 1072023-03-03 00:00:0008:00"
31922,"FR2023-04-21 00:00:0015:00UC LAW 1412023-01-13 00:00:0012:00"
31922,"FR2023-04-21 00:00:0015:00UC LAW 1412023-01-13 00:00:0012:00"
31949,"FR2023-04-28 00:00:0008:50UC LAW 1362023-01-09 00:00:0008:00"
32692,"FR2023-04-28 00:00:0009:50UC LAW 1112023-01-09 00:00:0008:00"
32692,"FR2023-04-28 00:00:0009:50UC LAW 1112023-01-09 00:00:0008:00"
32469,"FR2023-04-28 00:00:0009:50UC LAW 1152023-01-09 00:00:0008:00"
32310,"FR2023-04-28 00:00:0009:50UC LAW 2442023-01-09 00:00:0008:00"
32310,"FR2023-04-28 00:00:0009:50UC LAW 2442023-01-09 00:00:0008:00"
32309,"FR2023-04-28 00:00:0012:002240 Piedmont 1022023-01-09 00:00:0010:10"
32588,"FR2023-04-28 00:00:0012:40UC LAW 102023-01-09 00:00:0010:00"
32686,"FR2023-04-28 00:00:0012:40UC LAW 1072023-01-09 00:00:0010:00"
31944,"FR2023-04-28 00:00:0012:40UC LAW 1102023-01-09 00:00:0010:00"
32579,"FR2023-04-28 00:00:0012:40UC LAW 1322023-01-09 00:00:0010:00"
25696,"FR2023-05-05 00:00:0008:59Davis 5442023-01-17 00:00:0008:00"
32924,"FR2023-05-05 00:00:0008:59Davis 5442023-01-17 00:00:0008:00"
29964,"FR2023-05-05 00:00:0008:59Dwinelle 1052023-01-17 00:00:0008:00"
30234,"FR2023-05-05 00:00:0008:59Dwinelle 1052023-01-17 00:00:0008:00"
24796,"FR2023-05-05 00:00:0008:59Dwinelle 2052023-01-17 00:00:0008:00"
